t,count
1757643643.6589525,14
1757643644.0259907,14
1757643644.1933377,14
1757643644.4687388,14
1757643644.737929,14
1757643644.9598832,13
1757643645.3361526,13
1757643645.6175952,12
1757643645.9757268,11
1757643646.2919147,11
1757643646.6021242,11
1757643646.887948,11
1757643647.353502,11
1757643647.6325614,13
1757643647.9882655,13
1757643648.227767,13
1757643648.425579,13
1757643648.6275373,13
1757643648.8868814,14
1757643649.2629342,14
1757643649.5746555,14
1757643649.8221457,13
1757643650.1827734,13
1757643650.5334558,12
1757643651.0135698,11
1757643651.3729267,11
1757643651.67596,13
1757643651.9828675,14
1757643652.3249407,13
1757643652.7180877,13
1757643652.9437702,13
1757643653.2176576,13
1757643653.4595504,13
1757643653.722463,13
1757643654.1424024,13
1757643654.6790316,13
1757643655.0096118,12
1757643655.2645261,12
1757643655.4391665,12
1757643656.2533214,12
1757643656.518673,13
1757643656.7191367,12
1757643656.9411194,13
1757643659.2922156,13
1757643659.5311537,13
1757643659.78013,13
1757643660.3538275,13
1757643660.8100102,14
1757643661.5457711,14
1757643662.6543589,13
1757643663.7970645,14
1757643664.10229,14
1757643664.928813,14
1757643665.5638685,14
1757643666.0747106,14
1757643666.582909,13
1757643667.332626,13
1757643668.4070752,13
1757643669.059772,13
1757643669.4043589,13
1757643669.8682756,12
1757643670.5207734,13
1757643671.2972841,13
1757643672.1670122,13
1757643672.7865274,13
1757643672.980009,13
1757643673.658709,12
1757643674.3006847,12
1757643674.724638,12
1757643675.562641,12
1757643676.4136481,12
1757643677.5798335,12
1757643678.4413655,12
1757643679.0265555,12
1757643679.7009892,12
1757643680.5211694,12
1757643681.2042944,12
1757643681.910187,14
1757643682.4010398,14
1757643683.1552517,14
1757643684.2032819,14
1757643685.507278,14
1757643686.265311,0
1757643687.166167,0
1757643687.8639963,0
1757643688.6698477,0
1757643689.4049385,0
1757643689.8348286,11
1757643690.471228,11
1757643690.8545482,11
1757643691.6253247,11
1757643692.1847153,12
1757643692.81668,12
1757643693.7803369,13
1757643694.3355286,13
1757643694.9874952,13
1757643696.027515,13
1757643696.7461557,13
1757643697.134306,13
